iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
MX,2019,604825.062330314,222998.353,61908.2449371942,136765.833625296,183019.048431289
MY,2003,81351.6744120388,15745,2489.73684210526,18689.2105263158,44108.5165173019
MY,2004,109182.134252654,15844.7368421053,2509.21052631579,24461.5789473684,66200.5553052853
MY,2005,119793.809704237,24982.8042328042,4183.06878306878,20256.3492063492,70138.2541486818
MY,2006,165598.276608079,44429.5908254283,8269.40393600453,30114.0874982302,82199.3243215148
MY,2007,237578.167025623,71114.8041735975,15319.9455617723,49108.6949947074,101493.666798797
MY,2008,232472.806902404,80945.7709135306,16289.0944419775,41370.069280026,91633.186236907
MY,2009,261651.375942358,92328.0413993284,27781.6256814951,42531.2662948022,96737.0560020075
MY,2010,308152.859371425,112226.630055774,35892.6913595298,51750.3696801622,106582.904266606
MY,2011,357555.933133928,125072.326157432,40152.7454532137,56943.1778418697,133248.423100227
MY,2012,400779.178387089,138799.569879529,50690.0581053969,68166.8572543383,139688.949230669
MY,2013,412643.230574661,146002.978233232,59993.0261992412,69880.8904073625,134649.534857507
MY,2014,415806.566419067,152513.703507173,68073.1652778369,76424.7395045236,115978.592385965
MY,2015,387568.483187596,153802.29528027,69351.7779000816,66015.1819653588,95314.9491182111
MY,2016,385686.345233645,150130.667468868,72967.4985084128,64836.3113988787,94488.2656952412
MY,2017,418278.335708614,154160.19196099899,82904.8050787592,76551.2352715731,102072.779751539
MY,2018,413045.052978661,145722.231119725,88260.4758048568,75376.3088062921,101369.085808435
MY,2019,434855.478295478,140099.215292806,106907.297748235,80947.8344683812,103611.37260751
NG,2005,41832.271027283,305.02,2851.40573643411,10318.1010077519,28357.744283097
NG,2006,60495.4303789618,624.480003118422,4349.21400171513,13223.4032119747,42298.3331621535
NG,2007,75506.8158183898,1506.44556150821,6208.42923504679,16457.6224060762,51334.3186157586
NG,2008,91382.1960485351,2564.69,10967.094,24849.8267419986,53000.5853065367
NG,2009,80764.2319801037,4118.29,11797.864,22508.5902419986,42339.4877381048
NG,2010,87082.0957491741,12486.2753103788,1475.13908369109,40994.480530947,32126.2008241574
NG,2011,99440.906818141,12507.5341147966,1479.03784664068,52814.965871159,32639.3689855445
NG,2012,123535.406114107,13038.34214159,1464.56250673849,65537.4783679572,43495.0230978219
NG,2013,120706.186020197,13592.3998584147,1457.62164844217,63136.6065217211,42519.5579916189
NG,2014,108694.458999303,13139.4937547241,1462.2107225214,64621.8627202405,29470.8918018171
NG,2015,103647.273407506,11600.6431117331,1467.9507767637,62361.3433457228,28217.3361732869
NG,2016,95069.9018959898,7738.60568548957,1364.10042763002,58775.1868266885,27192.0089561817
NG,2017,115425.631462162,8023.51039381288,1484.84254972408,66369.5711536422,39547.7073649826
NG,2018,129684.678116435,8560.22829675808,1493.47467725972,76856.7880555397,42772.8922709384
NG,2019,115266.12260603,8850.64796033348,1498.29230447263,66578.7821579459,38335.3898730829
PE,2003,18029.2380094543,814.346443110873,4572.76364071734,2445.22141618497,10196.9065094411
PE,2004,21204.3791396947,873.805996730357,5237.93264071734,2453.28814198659,12639.3523602604
PE,2005,24962.3540660157,1047.42789329925,6643.40023649999,3160.720110787,14110.8058254295
PE,2006,32747.0472639795,1475.53667935953,9636.757235062,4314.785005548,17319.96834401
PE,2007,47615.4488777689,2284.18660858451,12119.6221018832,5501.268364287,27710.3718030142
PE,2008,48252.7368759439,1694.10999846475,10323.2326018199,5012.393089509,31223.0011861502
PE,2009,55644.45807693,2282.1877957046,14580.7368254171,5612.58604505705,33168.9474107513
PE,2010,71945.8185859424,4265.27871156,16071.3193719266,7468.90333751438,44140.3171649414
PE,2011,79039.7663009257,4200.28171316,18095.3306774675,7891.73676694873,48852.4171433495
PE,2012,100515.856069117,6112.40271712,22020.8092314601,8343.38164664284,64039.2624738944
PE,2013,103492.54672826,6243.40360669,22781.907400731,8766.61309395542,65700.6226268842
PE,2014,106144.979282208,7431.30427728,26543.6794500674,9826.26543177198,62343.7301230886
PE,2015,106604.70733866,6479.61301016,26751.5261811233,11847.6958553892,61525.8722919884
PE,2016,110349.254251944,8076.82192658,28894.8462831048,11640.1379086305,61737.4481336288
PE,2017,121270.983163641,8994.65972,35038.7114863626,13515.8723543584,63721.7396029195
PE,2018,121194.809544233,8841.25116,35838.1874474478,16237.8085721514,60277.562364634
PE,2019,131769.668871592,9353.3377528906,39845.3342756773,14211.0016196552,68359.9952233692
PH,2003,33092.5831630659,2053,4112,9865,17062.5831630659
PH,2004,34516.7839456323,2536,5022,10730,16228.7839456323
PH,2005,41135.8832704457,2535,5303,14804,18493.8832704456
PH,2006,52051.051340469,4200.8991830582,7854.38386119463,17029.0482707535,22966.7200254626
PH,2007,69344.2125713211,7230.53539054195,7995.52817147482,20366.5414177126,33751.6075915917
PH,2008,71005.7443136086,9750.13068235958,6383.40703316986,15892.0393412239,37550.8169351923
PH,2009,80026.5308444446,12188.8522225648,6622.85094036477,16842.4899037316,44242.6365486844
PH,2010,102307.900769772,17653.7283845079,8088.95313243615,14042.0261368817,62372.3437556726
PH,2011,115970.54481287,18503.5561194379,7525.63494264694,14356.1239255131,75302.4110945716
PH,2012,129204.332077553,24401.3023202741,8490.26162304787,12205.8839526953,83831.3524133134
PH,2013,136117.493144497,29010.2277673728,7850.56800806058,15765.9078233099,83187.0459350348
PH,2014,147988.665240441,35791.3413244198,10552.6499538489,21419.0259488076,79540.5808415541
PH,2015,155122.192101455,41016.6323696056,13760.6561904415,19379.0403446076,80666.865427027
PH,2016,161259.408949227,43886.9581183325,14355.6077985402,22026.9079250626,80691.353476232
PH,2017,171531.28073527,49191.1332232361,16131.0544785946,24377.6208551755,81563.8180094698
PH,2018,176131.664907648,52057.4242773072,20830.8234429935,23624.3098206105,79191.1675985045
PH,2019,197681.105392576,57855.0859948956,25599.8856509776,26097.4602633637,87837.9550410572
PK,2003,16980.9654363329,604,155,3526,12695.9654363329
PK,2004,17071.010726621,702,158,5492,10719.010726621
PK,2005,17680.855434068,870,452,5336,11022.855434068
PK,2006,19734.5572981544,1010,311,5752,12661.5572981544
